vessel_type,size_category,ships_reporting_eu,actual_avg_cii_2023,cii_reference_2023,cii_target_2026,cii_target_2030,implied_grade_2023,gap_to_cii_ref_pct,gap_to_2030_target_pct,improvement_needed_to_2030,co2_trend_vs_2022_pct,total_co2_eu_Mt,corridor_relevance,source_thetis,source_cii
Container Ship,Feeder (<3k TEU),5142,7.2,9.3,8.49,7.51,A,0.0,0.0,0.0% reduction in carbon intensity,3.1,178.4,"Routes 1 (Shanghai-LA, 55%) + 2 (Rotterdam-SGP, 45%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Container Ship,Panamax (3-8k TEU),5142,7.2,7.8,7.12,6.3,B,0.0,14.3,14.3% reduction in carbon intensity,3.1,178.4,"Routes 1 (Shanghai-LA, 55%) + 2 (Rotterdam-SGP, 45%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Container Ship,Post-Panamax (8k+),5142,7.2,6.1,5.57,4.93,D,18.0,46.0,46.0% reduction in carbon intensity,3.1,178.4,"Routes 1 (Shanghai-LA, 55%) + 2 (Rotterdam-SGP, 45%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Bulk Carrier,Small (<10k DWT),7891,5.9,14.2,12.96,11.47,A,0.0,0.0,0.0% reduction in carbon intensity,1.4,142.1,"Route 3 (Australia-EA, 50%) + Route 1 (25%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Bulk Carrier,Handysize (10-35k),7891,5.9,8.5,7.76,6.87,A,0.0,0.0,0.0% reduction in carbon intensity,1.4,142.1,"Route 3 (Australia-EA, 50%) + Route 1 (25%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Bulk Carrier,Supramax (35-60k),7891,5.9,6.9,6.3,5.58,B,0.0,5.7,5.7% reduction in carbon intensity,1.4,142.1,"Route 3 (Australia-EA, 50%) + Route 1 (25%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Bulk Carrier,Panamax (60-80k),7891,5.9,5.9,5.38,4.77,B,0.0,23.7,23.7% reduction in carbon intensity,1.4,142.1,"Route 3 (Australia-EA, 50%) + Route 1 (25%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Bulk Carrier,Capesize (80k+),7891,5.9,4.2,3.83,3.39,E,40.5,74.0,74.0% reduction in carbon intensity,1.4,142.1,"Route 3 (Australia-EA, 50%) + Route 1 (25%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Oil Tanker,Aframax (<120k DWT),4203,4.8,5.7,5.2,4.61,B,0.0,4.1,4.1% reduction in carbon intensity,-0.8,89.6,Routes 2 + 3,THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Oil Tanker,Suezmax (120-200k),4203,4.8,5.1,4.65,4.12,B,0.0,16.5,16.5% reduction in carbon intensity,-0.8,89.6,Routes 2 + 3,THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Oil Tanker,VLCC (200k+),4203,4.8,4.0,3.65,3.23,E,20.0,48.6,48.6% reduction in carbon intensity,-0.8,89.6,Routes 2 + 3,THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
Chemical Tanker,Medium (20-80k DWT),2710,8.1,9.4,8.58,7.6,B,0.0,6.6,6.6% reduction in carbon intensity,0.6,28.3,"Route 2 (Rotterdam-SGP, 10%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
LNG Carrier,Large (>100k m3),892,3.1,7.5,6.85,6.06,A,0.0,0.0,0.0% reduction in carbon intensity,5.2,18.9,"Route 3 (Australia-EA, 25%)",THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
General Cargo,Small (<5k DWT),3891,9.4,15.8,14.42,12.77,A,0.0,0.0,0.0% reduction in carbon intensity,-1.2,21.7,Minor across all routes,THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
General Cargo,Medium (5-15k DWT),3891,9.4,12.1,11.04,9.78,A,0.0,0.0,0.0% reduction in carbon intensity,-1.2,21.7,Minor across all routes,THETIS-MRV 2023 Annual Report (EMSA),"IMO MEPC.338(76) + MEPC.339(76), July 2023"
